Source,Target,Weight
admission,confirmed,4
apply,mene,4
apply,kia,4
saal,cutoff,4
cut,podunga,4
hota,dena,4
seat,limited,4
pta,chlega,4
number,milega,4
नहीं,बल्कि,4
log,denge,4
kitna,percentage,4
बिल्कुल,सही,4
good,know,4
cgl,inspector,4
best,ece,4
sakte,excellence,4
tell,score,4
admission,private,4
नहीं,मिलता,4
admission,batao,4
न्यूज,पिंच,4
top,bit,4
number,डालते,4
kitna,chance,4
नहीं,पड़ता,4
average,salary,4
library,equipped,4
bta,syllabus,4
saal,agle,4
central,haryana,4
study,legal,4
got,idea,4
round,seat,4
ask,aayushx,4
crore,budget,4
